ticker,name,sector,sub_industry,group,year,filing_date,accession_number,extraction_method,data_quality,mda_word_count,ai_keyword_hits,ai_density_per1k,speculative_hits,operational_hits,ai_density_2023,status,pe,pe_avg,pe_premium,sector_pe,revenue,ebit,rd,op_margin,rd_intensity,rev_growth,mktcap,ev,eps,net_income,log_revenue,log_mktcap,post_2022,spec_ratio_x_post,n_ai_sentences,n_speculative,n_operational,speculative_score,operational_score,spec_vs_oper_ratio,specificity_sum,specificity_mean,specificity_score,topic_opportunity,topic_adoption,topic_laborsaving,topic_rd_investment,topic_dominant,topic_opportunity_x_post,topic_adoption_x_post,topic_laborsaving_x_post,topic_rd_investment_x_post,spec_vs_oper_ratio_c
MMM,3M,Industrials,Industrial Conglomerates,middle,2018,2019-02-07,0001558370-19-000470,tenk_management_discussion,HIGH,17382.0,2.0,0.1151,1.0,0.0,0.0153,ok,17.52737614507385,19.424950353754173,0.1154423671938786,17.41193377787997,32765000000.0,6660000000.0,1821000000.0,20.326567984129408,5.557759804669617,,91854190014.08,105269935000.0,8.885382059800664,5349000000.0,24.21262670943787,25.24346826557557,0,0.0,2,0,2,0.0,0.09928,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,-0.18750113477537433
MMM,3M,Industrials,Industrial Conglomerates,middle,2019,2020-02-06,0001558370-20-000581,tenk_management_discussion,HIGH,16726.0,1.0,0.0598,0.0,0.0,0.0153,ok,18.841598406021696,19.199903055827896,-3.5727312060179344,22.41432961203963,32136000000.0,6060000000.0,1911000000.0,18.857356235997013,5.946601941747573,-1.919731420723336,84839763162.5,103997500000.0,7.72004785506751,4517000000.0,24.19324273400339,25.16403017506073,0,0.0,1,0,1,0.0,0.046836,0.333333,0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,-0.10416813477537434
MMM,3M,Industrials,Industrial Conglomerates,middle,2020,2021-02-04,0001558370-21-000737,tenk_management_discussion,HIGH,17059.0,2.0,0.1172,0.0,0.0,0.0153,ok,15.491000917599557,14.155835348546384,-12.079153222017965,27.57015413961752,32184000000.0,6772000000.0,1878000000.0,21.041511309967685,5.835197613721103,0.1493651979088905,84432332097.31999,99189463999.99998,9.359326691858469,5449000000.0,24.1947352715939,25.15921624691305,0,0.0,2,0,2,0.0,0.094277,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,-0.18750113477537433
MMM,3M,Industrials,Industrial Conglomerates,middle,2021,2022-02-09,0000066740-22-000010,tenk_management_discussion,HIGH,4684.0,0.0,0.0,0.0,0.0,0.0153,ok,14.522426954906264,15.345817409382262,-12.7062210954728,27.228648050379064,35355000000.0,7369000000.0,1994000000.0,20.84287936642625,5.639937774006505,9.85272184936614,84924771937.78,99603290000.0,10.116179736887066,5921000000.0,24.288705662002616,25.165031665535,0,0.0,0,0,0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.062498865224625666
MMM,3M,Industrials,Industrial Conglomerates,middle,2022,2023-02-08,0000066740-23-000014,tenk_management_discussion,HIGH,1954.0,0.0,0.0,0.0,0.0,0.0153,ok,9.822946165830016,11.390475446319275,-12.303564278034214,22.12651044386423,26161000000.0,1916000000.0,1160000000.0,7.323879056610985,4.43408126600665,-26.004808372224574,55067314227.3,69757160000.0,10.177942212825934,5777000000.0,23.987535589104496,24.7318221688717,0,0.0,0,0,0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.062498865224625666
MMM,3M,Industrials,Industrial Conglomerates,middle,2023,2024-02-07,0000066740-24-000016,tenk_management_discussion,HIGH,11688.0,0.0,0.0,0.0,0.0,0.0153,ok,,-6.834376908649035,,25.76663157894737,24610000000.0,-10725000000.0,1154000000.0,-43.57984559122308,4.68915075172694,-5.928672451358896,50505915830.4,61653460000.0,-12.6286333273154,-6995000000.0,23.926418701349377,24.6453563115232,1,0.5,0,0,0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.062498865224625666
MMM,3M,Industrials,Industrial Conglomerates,middle,2024,2025-02-05,0000066740-25-000006,tenk_management_discussion,HIGH,11391.0,0.0,0.0,0.0,0.0,0.0153,ok,17.038766355140186,14.365862483311082,-9.575721367370502,26.614487722510688,24575000000.0,4822000000.0,1085000000.0,19.621566632756867,4.415055951169888,-0.1422186103210099,69640221414.27,76470772000.0,7.554308472121651,4173000000.0,23.92499550297964,24.966608131253608,1,0.5,0,0,0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.062498865224625666
ACN,Accenture,Information Technology,IT Consulting & Other Services,middle,2018,2018-10-24,0001467373-18-000318,tenk_management_discussion,HIGH,8684.0,0.0,0.0,0.0,0.0,0.9752,ok,26.17112559966029,23.763485781454328,0.1393632668320101,26.03176233282828,40992534000.0,5898779000.0,,14.38988621684134,0.0,,108041559195.46,101572632019.94,6.195530066825511,4059907000.0,24.43665578950797,25.40578179741664,0,0.0,0,0,0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.062498865224625666
ACN,Accenture,Information Technology,IT Consulting & Other Services,middle,2019,2019-10-29,0001467373-19-000339,tenk_management_discussion,HIGH,6992.0,0.0,0.0,0.0,0.0,0.9752,ok,26.45928897068116,22.76494896771618,1.5728794395904409,24.88640953109072,43215013000.0,6305074000.0,,14.590008338074549,0.0,5.421667760280435,125991413640.68,120763080431.24998,7.350163307681024,4779112000.0,24.48945379497244,25.55947959586697,0,0.0,0,0,0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.062498865224625666
ACN,Accenture,Information Technology,IT Consulting & Other Services,middle,2020,2020-10-22,0001467373-20-000376,tenk_management_discussion,HIGH,6232.0,0.0,0.0,0.0,0.0,0.9752,ok,29.8888508674784,24.705043120266897,-3.1200960518733574,33.00894691935176,44327039000.0,6513644000.0,,14.69451636505655,0.0,2.5732399987939303,152155334653.18,148141949126.09,7.884937683171096,5107839000.0,24.514860688976693,25.748167774476777,0,0.0,0,0,0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.062498865224625666
ACN,Accenture,Information Technology,IT Consulting & Other Services,middle,2021,2021-10-15,0001467373-21-000229,tenk_management_discussion,HIGH,5568.0,1.0,0.1796,0.0,0.0,0.9752,ok,36.16670215151362,28.90848987273169,6.88574682885708,29.28095532265654,50533389000.0,7621529000.0,,15.082164784158849,0.0,14.001273579315775,212734850361.04,209531627768.88,9.14495480928722,5906809000.0,24.64590012306908,26.08331239322068,0,0.0,1,0,1,0.0,0.168947,0.333333,0,0.0,0.0,0.168947,0.168947,0.168947,0.0,opportunity,0.0,0.0,0.0,0.0,-0.10416813477537434
ACN,Accenture,Information Technology,IT Consulting & Other Services,middle,2022,2022-10-12,0001467373-22-000295,tenk_management_discussion,HIGH,5783.0,1.0,0.1729,0.0,0.0,0.9752,ok,26.540969303880708,30.189640972449205,0.0,26.540969303880708,61594305000.0,9367181000.0,,15.207868649544793,0.0,21.888332088710705,182066599838.34,178599672326.59998,10.698117356975477,6877169000.0,24.843835251913298,25.927638390263684,0,0.0,1,0,1,0.0,0.161891,0.333333,0,0.0,0.0,0.161891,0.161891,0.161891,0.0,opportunity,0.0,0.0,0.0,0.0,-0.10416813477537434
ACN,Accenture,Information Technology,IT Consulting & Other Services,middle,2023,2023-10-12,0001467373-23-000324,tenk_management_discussion,HIGH,6324.0,1.0,0.1581,0.0,0.0,0.9752,ok,29.712627339221665,26.177207172596184,-0.4409449611673999,30.153572300389065,64111745000.0,9873035000.0,,15.399729020010296,0.0,4.087131107332076,203413406967.96,199037193381.22,10.760487340942475,6871557000.0,24.883893413417766,26.03850623268537,1,0.25,2,0,2,0.0,0.295858,0.25,0,0.0,0.0,0.295858,0.147929,0.147929,0.0,opportunity,0.295858,0.147929,0.147929,0.0,-0.18750113477537433
